(Intercept),AP,flash.index,LFPP,log.cond,NH4.,Rosgen.Index,df,logLik,AICc,delta,weight
3.8263,1.126030496,NA,NA,NA,NA,NA,3,-13.30998876,36.61997753,0,0.473098812
3.8263,1.040970659,NA,-0.532315661,NA,NA,NA,4,-11.55297463,39.10594926,2.485971728,0.136499153
3.8263,NA,NA,NA,-0.953554287,NA,NA,3,-14.93807675,39.87615349,3.256175963,0.092871451
3.8263,NA,NA,NA,NA,NA,NA,2,-17.60453977,40.92336526,4.303387731,0.055015249
3.8263,0.934602236,NA,NA,NA,-0.398834917,NA,4,-12.60580195,41.21160391,4.59162638,0.047631346
3.8263,NA,NA,NA,NA,-0.8474147,NA,3,-15.62867901,41.25735801,4.637380484,0.046554051
3.8263,1.133975595,0.317646915,NA,NA,NA,NA,4,-12.73739926,41.47479851,4.854820986,0.041758114
3.8263,NA,NA,NA,-0.819744612,-0.687976453,NA,4,-12.76205799,41.52411598,4.904138448,0.040741004
3.8263,1.103484975,NA,NA,NA,NA,0.310877369,4,-12.76559627,41.53119254,4.911215011,0.040597105
3.8263,0.983110286,NA,NA,-0.18214158,NA,NA,4,-13.24111205,42.48222409,5.862246563,0.025233715
