(Intercept),AP,flash.index,LFPP,log.cond,NH4.,Rosgen.Index,df,logLik,AICc,delta,weight
16.7014,NA,NA,NA,NA,NA,NA,2,-33.26793908902225,72.2501638923302,0,0.310350012840917
16.7014,NA,NA,-4.120053369970793,NA,NA,NA,3,-31.217268168087212,72.43453633617443,0.18437244384422513,0.2830191355985
16.7014,NA,NA,NA,NA,NA,-3.1231207387045488,3,-32.193794824322694,74.38758964864539,2.1374257563151815,0.106589803594955
16.7014,NA,NA,-6.228455417273693,NA,3.5439946779634264,NA,4,-29.82945129562888,75.65890259125776,3.40873869892755,0.0564486505323547
16.7014,NA,1.749597470983454,NA,NA,NA,NA,3,-32.95499498069219,75.90998996138438,3.6598260690541764,0.0497886825269334
16.7014,-1.701618330368973,NA,NA,NA,NA,NA,3,-32.97243389197582,75.94486778395164,3.6947038916214296,0.0489279490502184
16.7014,NA,NA,NA,-0.9157184857363285,NA,NA,3,-33.18414207797042,76.36828415594084,4.118120263610635,0.0395925354767249
16.7014,NA,NA,NA,NA,-0.1614533677038179,NA,3,-33.26535518237476,76.53071036474952,4.280546472419317,0.0365042064088193
16.7014,-2.4218075693678816,NA,-4.507039086514405,NA,NA,NA,4,-30.281325678384235,76.56265135676847,4.312487464438263,0.0359258467640626
16.7014,NA,NA,-3.612459067179691,NA,NA,-2.339253847250311,4,-30.370734221531315,76.74146844306263,4.491304550732423,0.0328531772065149
