STAID,rich,rich.lower,rich.upper,shannon,shannon.lower,shannon.upper,simpson,simpson.lower,simpson.upper
8189700,5,5,6.751,2.736,2.736,3.783,1.968,1.968,2.751
8068390,8,8.013,12.681,4.382,4.382,5.731,3.265,3.265,4.204
8115000,7,7,8.522,6.094,6.094,7.596,5.597,5.597,7.786
8164600,7,7.013,11.688,4.261,4.261,5.372,3.535,3.535,4.336
8189300,4,4,5.459,3.242,3.242,4.245,2.939,2.939,4.145
8189500,6,6.894,65.142,4.666,4.666,14.856,3.667,3.667,15.007
8177300,6,6.051,13.265,5.586,5.586,11.014,5.261,5.261,13.245
8164800,9,9.029,17.377,3.833,3.833,4.953,2.43,2.43,3.055
8211900,3,3,4.033,1.573,1.573,2.045,1.284,1.284,1.59
8212300,2,2,2.283,1.89,1.89,2.344,1.8,1.8,2.485
