SITE,NH3-N,NO3&NO2,PO43-,Depth/Width,COND, DO,TURB,TEMP,PH,<2mm,CANOPY,Med.Flow,Mean.Flow,Drain(sqkm),Avg.Temp,AvgPPT,Forest,log NH3,logNO3,logPO4,log.med.flow,log.mean.flow,log.avg.ppt,Shannon Index of Invertebrate Diversity,Alisotricha,Ameletus,Ametropus,Amnicola,Amphiagrion,Ancyronyx,Argia,Baetis,Baetodes,Belastoma,Berosus,Biomphalaria,Bithynia,Brachycerus,Brechmorhoga,Caecidotea,Caenis,Camelobaetidius,Campeloma,Centroptilum,Cercobrachys,Cheumatopsyche,Chimarra,Chromagrion,Cloeon,Corbicula,Cyphon,Dubiraphia,Elodes,Erpetogomphus,Erythemis,Fallceon,Farrodes,Ferrissia,Fossaria,Gammarus,Glaenocorsia,Gyraulus,Gyretes,Hebrus,HeliciNA,Helisoma,HetaeriNA,Heterelmis,Hyalella,HydraeNA,Hydrobius,HydrophiliNAe,Hydropsyche,Hydroptilidae,Isonychia,Leptoceridae,Leptohyphes,Leptonema,Limnocoris,Limnoporus,Linisa,Lipogomphus,Macronychus,Melanoides,Menetus,Mesovelia,Metrichia,Metricia,Microvelia,Morphocorixa,NA,Nectopsyche,Neoelmis,Neoneura,Neoplea,Orconectes,Palaemonetes,Pelocoris,Peltodytes,Philopotamidae,Physa,Physella,Pisidum,Planorbula,Plauditis,Pomatopsis,Potamyia,Procloeon,Pseudocloeon,Pseudosuccinea,RaNAtra,Rhagovelia,Rheumatobates,Scirtes,Siphlonurus,Smicridia,Stactobiella,Stenelmis,Stenonema,Strobilops,Subfam.: SphaeridiiNAe,SyNAptonecta,Thraulodes,Trepobates,Valvata,(blank),Calopteryx,Baetidae,Isonychiidae,Macrelmis,Grand Total,,
AR,0.105,0.6375,4.1275,0.073583075,929.5,82.8,66.35076691,19.05,7.0775,21.25,24.16666667,4.8,34.54522496,76.8,21.54733333,68.5326087,3.58,-0.978810701,-0.195519811,0.615687082,0.681241237,1.538388025,1.835897264,2.748531,0,19,0,0,0,0,8,63,0,0,0,0,1,0,5,0,0,14,0,0,17,10,1,0,0,1,0,2,0,13,0,0,21,2,0,2,0,0,0,0,1,0,0,0,4,0,0,0,1,0,3,0,0,0,0,0,0,1,0,20,0,0,0,1,0,0,1,5,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,3,2,252,,
BBW,0.1325,0.02,0.1675,0.08325887,227.125,84.625,67.45529273,17,6.7625,97.5,18.41666667,NA,NA,NA,NA,NA,NA,-0.877784122,-1.698970004,-0.775985189,NA,NA,NA,2.049416,1,13,0,0,0,0,0,0,21,0,0,0,1,0,0,0,10,0,0,0,5,25,0,0,0,24,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,,
BC,0.1175,2.9,1.6675,0.043196785,219.25,79.7,99.08366992,15.875,6.9625,51.25,0,2.4,38.96549959,80.2,20.66816667,99.4926087,2.57,-0.929962133,0.462397998,0.222065843,0.380211242,1.590680249,1.997790818,1.409774,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,213,,
CC,0.1825,5.425,0.673333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.738737131,0.734399743,-0.171769885,NA,NA,NA,2.283394,0,1,1,1,0,0,0,19,8,1,1,0,0,1,0,2,0,0,1,0,1,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,56,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,18,4,0,0,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,1,0,0,0,0,0,168,,
GC,0.0975,0.0475,0.4075,0.055064046,517.75,64.7,66.90867316,22.575,7.135,78.75,32.25,2.8,53.84037642,970.4,21.209,84.25101449,17.53,-1.010995384,-1.32330639,-0.389872387,0.447158031,1.731108088,1.925575139,1.793963,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,1,1,1,0,0,49,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,91,,
MC,0.1125,0.0075,0.405,0.047557067,852.25,45.7,68.797967,19.025,6.895,81.25,5.75,0.16,3.682921585,14.1,21.39533333,66.87014493,1.44,-0.948847478,-2.124938737,-0.392544977,-0.795880017,0.566192472,1.825232264,1.725462,0,0,0,0,3,0,2,0,0,0,0,132,23,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,69,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,8,0,3,0,62,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,325,,
MR,0.17,0.04,0.315,0.068023256,1291,62.45,68.61325881,23.6,7.215,72.5,26.83333333,16,143.905291,51.8,21.51616667,72.85028986,8.43,-0.769551079,-1.397940009,-0.501689446,1.204119983,2.158076762,1.862431284,2.035257,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,5,13,0,0,0,2,0,0,0,0,1,52,0,0,0,0,0,0,1,11,0,1,0,1,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,119,1,2,0,3,0,8,0,10,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,1,0,0,1,0,0,0,262,,
OSO,0.1925,0.6125,3.1775,0.059875923,6986.5,79.4,85.24474424,26.125,7.1675,86.25,15.75,2.2,30.66551575,11.3,22.188,68.92246377,0.2,-0.715569266,-0.212893907,0.502085559,0.342422681,1.486650273,1.838360794,2.007522,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,39,,
PBW,0.16,0.9825,2.2125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.795880017,-0.007667441,0.344883279,NA,NA,NA,2.459543,0,0,0,0,11,0,5,0,0,0,0,0,0,9,0,0,9,0,0,9,0,2,0,4,1,25,0,0,0,0,0,32,0,3,0,0,0,0,0,0,0,0,1,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,2,0,1,0,0,0,0,11,30,0,0,45,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,256,,
SFC,0.2975,1.8,4.275,0.054558761,979,68.5,67.17249949,23.275,6.4275,66.25,NA,1.7,14.47208952,192.7,22.2145,56.67231884,1.48,-0.52651303,0.255272505,0.630936119,0.230448921,1.16053124,1.753370983,2.211945,1,0,0,2,0,0,5,0,0,0,0,0,0,0,1,5,0,0,0,0,0,34,0,0,0,1,0,0,0,2,0,0,0,0,0,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,21,0,0,0,0,0,0,0,0,11,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,130,,
