                         r     p        axis1        axis2          labels
A.melas         0.23023817 0.423 -0.022387738  0.049458134         A.melas
A.rostrata      0.04895361 0.875 -0.004901997  0.018920955      A.rostrata
H.cyanoguttatus 0.11674133 0.703  0.044499826  0.067240420 H.cyanoguttatus
C.lutrensis     0.87975490 0.007 -0.217359354  0.626652466     C.lutrensis
C.venusta       0.19174898 0.496 -0.074923046 -0.018880656       C.venusta
E.gracile       0.01702391 1.000  0.023746088 -0.009510118       E.gracile
F.notatus       0.26996839 0.244 -0.096394548 -0.061708444       F.notatus
G.affinis       0.61787634 0.041  0.187553123 -0.339810377       G.affinis
L.auritis       0.09544810 0.747  0.036414193  0.080138119       L.auritis
L.cyanellus     0.27043676 0.320 -0.072507811 -0.166251083     L.cyanellus
L.gulosus       0.17486578 0.476 -0.099324212 -0.010412806       L.gulosus
L.humilis       0.16582945 0.594 -0.017865623 -0.034986287       L.humilis
L.macrochirus   0.75601603 0.018 -0.240268678 -0.061350821   L.macrochirus
L.marginatus    0.16582945 0.594 -0.025265807 -0.049478082    L.marginatus
L.megalotis     0.72038963 0.013 -0.407334824 -0.020938185     L.megalotis
P.latipinna     0.83741590 0.016  0.414714616 -0.089880974     P.latipinna
P.vigilax       0.02933178 0.914 -0.136897484  0.033999261       P.vigilax
T.maculatus     0.23023817 0.423 -0.012925567  0.028554667     T.maculatus
