                          r     p         axis1         axis2          labels
ALISOTRICHIA    0.278124376 0.497 -0.0786979586 -1.637386e-02    ALISOTRICHIA
AMELETUS        0.092049566 0.697 -0.0519694421 -1.858636e-02        AMELETUS
AMETROPUS       0.000000000 1.000  0.0000000000  3.234143e-17       AMETROPUS
AMNICOLA        0.557658176 0.072  0.0678162998  1.970602e-01        AMNICOLA
AMPHIAGRION     0.496395024 0.102  0.0333355557 -1.299155e-01     AMPHIAGRION
ANCYRONYX       0.009591491 0.968 -0.0086924690  1.486210e-02       ANCYRONYX
ARGIA           0.373290133 0.205  0.1475545571 -5.412084e-02           ARGIA
BAETIS          0.013734278 0.975  0.0267285164 -2.212501e-03          BAETIS
BAETODES        0.278124376 0.497 -0.0786979586 -1.637386e-02        BAETODES
BELOSTOMA       0.270256996 0.602 -0.0732618175 -1.925933e-02       BELOSTOMA
BEROSUS         0.000000000 1.000  0.0000000000  0.000000e+00         BEROSUS
BIOMPHALARIA    0.517250936 0.076  0.1198219155 -8.838404e-02    BIOMPHALARIA
BITHYNIA        0.174315383 0.501 -0.0133590811 -1.057973e-01        BITHYNIA
BRACHYCERUS     0.298090029 0.312 -0.0730195461 -5.882825e-02     BRACHYCERUS
BRECHMORHOGA    0.392815474 0.167  0.0708159583  6.498429e-02    BRECHMORHOGA
CAECIDOTEA      0.278631140 0.391  0.0735916839  6.613472e-02      CAECIDOTEA
CAENIS          0.642216819 0.034 -0.1350714578 -1.616537e-01          CAENIS
CALOPTERYX      0.071466729 1.000  0.0141410725 -2.769643e-02      CALOPTERYX
CAMELOBAETIDIUS 0.081086837 0.900  0.0265572047  2.576695e-02 CAMELOBAETIDIUS
CAMPELOMA       0.197974249 0.544  0.0480706251  9.010904e-02       CAMPELOMA
CENTROPTILUM    0.470994912 0.109  0.0330932842 -9.034663e-02    CENTROPTILUM
CERCOBRACHYS    0.092049566 0.697 -0.0519694421 -1.858636e-02    CERCOBRACHYS
CHEUMATOPSYCHE  0.740951625 0.009 -0.1397602895  1.580027e-01  CHEUMATOPSYCHE
CHROMAGRION     0.071466729 1.000  0.0141410725 -2.769643e-02     CHROMAGRION
CLOEON          0.000000000 1.000  0.0000000000  0.000000e+00          CLOEON
CORBICULA       0.164334072 0.551 -0.0975421371  5.724187e-02       CORBICULA
CYPHON          0.251092058 0.340 -0.0473504751  1.030086e-01          CYPHON
DUBIRAPHIA      0.309620388 0.265 -0.0285716956  1.212285e-01      DUBIRAPHIA
ELODES          0.125092335 0.694 -0.0228335415  4.255853e-02          ELODES
ERPETOGOMPHUS   0.392815474 0.167  0.1001488886  9.190167e-02   ERPETOGOMPHUS
ERYTHEMIS       0.470994912 0.109  0.0330932842 -9.034663e-02       ERYTHEMIS
FALLCEON        0.624435872 0.063 -0.1745510462 -3.264358e-02        FALLCEON
FARRODES        0.078979042 0.737  0.0330911637 -3.745590e-02        FARRODES
FERRISSIA       0.041634741 0.869  0.0100863105  3.308208e-02       FERRISSIA
FOSSARIA        0.305494238 0.351  0.1008697037 -2.573385e-02        FOSSARIA
GAMMARUS        0.392815474 0.167  0.0708159583  6.498429e-02        GAMMARUS
GLAENOCORISA    0.000000000 1.000  0.0000000000  0.000000e+00    GLAENOCORISA
GYRAULUS        0.000000000 1.000  0.0000000000  0.000000e+00        GYRAULUS
GYRETES         0.071466729 1.000  0.0141410725 -2.769643e-02         GYRETES
HEBRUS          0.278631140 0.391  0.0520371787  4.676431e-02          HEBRUS
HELICINA        0.081086837 0.900  0.0187787795  1.821998e-02        HELICINA
HELISOMA        0.102485722 0.700 -0.0384157347  4.857753e-02        HELISOMA
HETAERINA       0.000000000 1.000  0.0000000000  0.000000e+00       HETAERINA
HETERELMIS      0.071466729 1.000  0.0141410725 -2.769643e-02      HETERELMIS
HYALELLA        0.780030884 0.005 -0.1675605000  5.312669e-03        HYALELLA
HYDRAENA        0.552656640 0.065  0.0332645960 -1.183261e-01        HYDRAENA
HYDROBIUS       0.470994912 0.109  0.0330932842 -9.034663e-02       HYDROBIUS
HYDROPSYCHE     0.081086837 0.900  0.0187787795  1.821998e-02     HYDROPSYCHE
ISONYCHIIDAE    0.081086837 0.900  0.0265572047  2.576695e-02    ISONYCHIIDAE
LEPTOCERIDAE    0.055540657 0.793  0.0465557011 -1.340172e-02    LEPTOCERIDAE
LEPTOHYPHES     0.302371492 0.265 -0.0589494333 -7.493522e-02     LEPTOHYPHES
LEPTONEMA       0.278631140 0.391  0.0520371787  4.676431e-02       LEPTONEMA
LIMNOCORIS      0.071466729 1.000  0.0141410725 -2.769643e-02      LIMNOCORIS
LIMNOPORUS      0.087722676 0.800  0.0002967207 -4.846183e-02      LIMNOPORUS
LINISA          0.071466729 1.000  0.0141410725 -2.769643e-02          LINISA
LIPOGOMPHUS     0.081086837 0.900  0.0187787795  1.821998e-02     LIPOGOMPHUS
MACRELMIS       0.081086837 0.900  0.0187787795  1.821998e-02       MACRELMIS
MACRONYCHUS     0.125092335 0.694 -0.0228335415  4.255853e-02     MACRONYCHUS
MELANOIDES      0.691492798 0.017  0.2655524084 -2.124158e-03      MELANOIDES
MENETUS         0.000000000 1.000  0.0000000000  0.000000e+00         MENETUS
MESOVELIA       0.470994912 0.109  0.0330932842 -9.034663e-02       MESOVELIA
METRICHIA       0.087722676 0.800  0.0001713118 -2.797945e-02       METRICHIA
MICROVELIA      0.087722676 0.800  0.0001713118 -2.797945e-02      MICROVELIA
MORPHOCORIXA    0.000000000 1.000  0.0000000000  0.000000e+00    MORPHOCORIXA
NEOELMIS        0.000000000 1.000  0.0000000000  0.000000e+00        NEOELMIS
NEONEURA        0.278631140 0.391  0.0520371787  4.676431e-02        NEONEURA
NEOPLEA         0.012322919 0.925  0.0189500913 -9.759466e-03         NEOPLEA
ORCONECTES      0.278631140 0.391  0.0520371787  4.676431e-02      ORCONECTES
PALAEMONETES    0.574876313 0.042 -0.1350336979  2.368441e-02    PALAEMONETES
PELOCORIS       0.071466729 1.000  0.0141410725 -2.769643e-02       PELOCORIS
PELTODYTES      0.510336629 0.089 -0.0177559147 -1.718397e-01      PELTODYTES
PHILOPOTAMIDAE  0.081086837 0.900  0.0265572047  2.576695e-02  PHILOPOTAMIDAE
PHYSA           0.638867258 0.030  0.0474766281 -1.576120e-01           PHYSA
PHYSELLA        0.158680803 0.555 -0.0543117262 -2.901880e-02        PHYSELLA
PISIDIUM        0.279281896 0.303 -0.0386580061  8.814645e-02        PISIDIUM
PLANORBULA      0.000000000 1.000  0.0000000000  0.000000e+00      PLANORBULA
PLAUDITUS       0.661025094 0.045 -0.1376473918 -9.130908e-02       PLAUDITUS
POTAMYIA        0.000000000 1.000  0.0000000000  0.000000e+00        POTAMYIA
PROCLOEON       0.071466729 1.000  0.0141410725 -2.769643e-02       PROCLOEON
PSEUDOCLOEON    0.087722676 0.800  0.0001713118 -2.797945e-02    PSEUDOCLOEON
PSEUDOSUCCINEA  0.016499471 0.957 -0.0148028688  2.814726e-02  PSEUDOSUCCINEA
RANATRA         0.470994912 0.109  0.0330932842 -9.034663e-02         RANATRA
RHAGOVELIA      0.392815474 0.167  0.1001488886  9.190167e-02      RHAGOVELIA
RHEUMATOBATES   0.081086837 0.900  0.0187787795  1.821998e-02   RHEUMATOBATES
SCIRTES         0.071466729 1.000  0.0141410725 -2.769643e-02         SCIRTES
SIPHLONURUS     0.278631140 0.391  0.0520371787  4.676431e-02     SIPHLONURUS
SMICRIDEA       0.000000000 1.000  0.0000000000  0.000000e+00       SMICRIDEA
SPHAERIDIINAE   0.000000000 1.000  0.0000000000  0.000000e+00   SPHAERIDIINAE
STACTOBIELLA    0.279281896 0.303 -0.0386580061  8.814645e-02    STACTOBIELLA
STENELMIS       0.222859776 0.413 -0.0279759009  1.251149e-01       STENELMIS
STENONEMA       0.125092335 0.694 -0.0322915041  6.018685e-02       STENONEMA
STROBILOPS      0.087722676 0.800  0.0001713118 -2.797945e-02      STROBILOPS
SYNAPTONECTA    0.000000000 1.000  0.0000000000  0.000000e+00    SYNAPTONECTA
TREPOBATES      0.156860060 0.595  0.0143833439 -6.726535e-02      TREPOBATES
