STAID,rich,rich.lower,rich.upper,shannon,shannon.lower,shannon.upper,simpson,simpson.lower,simpson.upper
8068390,14,14,14,12.849,12.849,12.932,11.571,11.571,11.724
8177300,26,26,26,24.158,24.158,24.354,22.443,22.443,22.823
8189700,29,29,29,27.05,27.05,27.134,25.329,25.329,25.465
8212300,7,7,7,6.24,6.24,6.279,5.4,5.4,5.475
8164600,15,15,15,14.132,14.132,14.409,13.364,13.364,13.812
8211900,18,18,18,16.958,16.958,17.043,16.026,16.026,16.176
8164800,11,11,11,11,11.001,11.024,11,11.003,11.048
8189300,17,17,17,16.666,16.666,16.729,16.2,16.2,16.367
8189500,27,27,27,26.647,26.647,26.772,26.133,26.133,26.437
8115000,12,12,12,11.314,11.314,11.43,10.667,10.667,10.864
