Site Name,STAID,shannon,rare.rich,A.melas,A.rostrata,H.cyanoguttatus,C.lutrensis,C.venusta,E.gracile,F.notatus,G.affinis,L.auritis,L.cyanellus,L.gulosus,L.humilis,L.macrochirus,L.marginatus,L.megalotis,P.latipinna,P.vigilax,T.maculatus
Aransas,8189700,1.006,3.394,0,0,1,27,0,0,0,0,3,0,0,0,5,0,3,0,0,0
Bear Branch,8068390,1.478,4.236,0,0,0,2,3,0,5,1,0,0,2,0,21,0,29,0,3,0
Big Creek,8115000,1.807,5.483,0,0,0,10,0,0,0,4,0,6,1,0,5,0,8,0,4,0
Garcitas,8164600,1.449,4.065,0,1,0,0,0,0,0,22,0,2,0,2,15,4,30,0,0,0
Medio,8189300,1.176,3.423,0,0,0,0,0,0,0,11,0,5,1,0,7,0,0,0,0,0
Mission,8189500,1.540,6.000,0,2,1,0,0,1,0,1,0,0,0,0,1,0,5,0,0,0
Perdido,8177300,1.720,6.000,0,0,0,0,0,0,1,1,2,2,0,0,2,0,3,0,0,0
Placedo,8164800,1.344,4.015,3,4,0,67,0,0,0,6,0,0,2,0,6,0,17,0,3,1
San Fernando,8211900,0.453,2.089,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,36,2,0
Tranquitas,8212300,0.637,2.000,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,0
