Site Name,STAID,shannon,rare.rich,Alisotrichia,Ameletus,Ametropus,Amnicola,Amphiagrion,Ancyronyx,Argia,Baetis,Baetodes,Belastoma,Berosus,Biomphalaria,Bithynia,Brachycerus,Brechmorhoga,Caecidotea,Caenis,Calopteryx,Camelobaetidius,Campeloma,Centroptilum,Cercobrachys,Cheumatopsyche,Chromagrion,Cloeon,Corbicula,Cyphon,Dubraphia,Elodes,Erpetogomphus,Erythemis,Fallceon,Farrodes,Ferrissia,Fossaria,Gammarus,Glaenocorisa,Gyraulus,Gyretes,Hebrus,Helicina,Helisoma,Hetaerina,Heterelmis,Hyalella,Hydraena,Hydrobius,Hydropsyche,Isonychiidae,Leptoceridae,Leptohyphes,Leptonema,Limnocoris,Limnoporus,Linisa,Lipogomphus,Macrelmis,Macronychus,Melanoides,Menetus,Mesovelia,Metrichia,Microvelia,Morphocorixa,Neoelmis,Neoneura,Neoplea,Orconectes,Palaemonetes,Pelocoris,Peltdytes,Philopotamidae,Physa,Physella,Pisidium,Planorbula,Plauditus,Potamyia,Procloeon,Pseducussinea,Pseudocloeon,Ranatra,Rhagovelia,Rheumatobates,Scatobiella,Scirtes,Siphlonurus,Smicredea,Spaeridiinae,Stenelmis,Stenonema,Strobilops,Synaptonecta,Trepobates,Valvata
Aransas,8189700,3.298,29,0,3226,0,0,0,0,3226,3226,0,0,0,0,1613,0,1613,0,0,0,3226,0,0,3226,4839,0,0,1613,0,1613,0,3226,0,0,1613,1613,0,1613,0,0,0,0,1613,0,0,0,1613,0,0,1613,3226,3226,0,0,0,0,0,1613,1613,0,3226,0,0,0,0,0,0,0,1613,0,1613,0,0,3226,0,1613,0,0,0,0,0,0,0,0,3226,1613,0,0,0,0,0,3226,0,0,0,0,0
Bear Branch,8068390,2.553,14,1158,1158,0,0,0,0,0,0,1158,0,0,0,1158,0,0,0,1158,0,0,0,0,1158,2316,0,0,3474,0,0,0,0,0,1158,0,0,0,0,0,0,0,0,0,0,0,0,2316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1158,0,1158,0,0,0,0,0,1158,0,0,0,1158,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Big Creek,8115000,2.426,12,0,0,0,0,0,0,0,0,0,325,0,0,325,325,0,0,650,0,0,0,0,0,325,0,0,0,0,0,0,0,0,325,0,0,0,0,0,0,0,0,0,0,0,0,650,0,0,0,0,0,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650,0,0,0,0,325,0,0,325,0,0,0,0,0,0,0,0,0,0,0,0,650,0,0,0,0,0
Garcitas,8164600,2.648,15,0,0,0,182,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,182,91,91,91,0,0,91,0,91,0,0,0,0,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,91,182,0,0,0,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,182,0,0,0,0
Medio,8189300,2.813,17,0,0,0,0,867,0,867,0,0,0,0,867,867,0,0,0,867,0,0,0,867,0,0,0,0,0,0,0,0,0,867,0,0,0,0,0,0,0,0,0,0,0,0,0,867,867,867,0,0,0,0,0,0,0,0,0,0,0,867,0,867,0,0,0,0,0,0,0,867,0,1734,0,867,0,0,0,0,0,0,0,0,867,0,0,0,0,0,0,0,0,0,0,0,0,867
Mission,8189500,3.283,27,0,0,0,0,0,381,381,0,0,0,0,0,0,0,0,0,381,381,0,0,0,0,0,381,0,0,381,381,0,0,0,0,381,381,381,0,0,0,381,0,0,0,0,381,381,0,0,0,0,762,381,0,381,0,381,0,0,0,381,0,0,0,0,0,0,0,0,0,381,381,381,0,381,0,0,0,381,0,381,0,0,0,0,0,381,0,0,0,0,381,0,0,0,381,0
Perdido,8177300,3.185,26,0,314,0,0,628,0,314,314,0,0,0,0,0,628,0,0,0,0,0,0,0,314,314,0,0,628,0,0,0,0,0,628,314,0,0,0,0,0,0,0,0,628,0,0,628,314,0,0,0,0,314,0,0,942,0,0,0,0,628,0,0,314,314,0,0,0,314,0,314,0,0,0,628,314,0,0,314,0,0,314,0,0,0,0,0,0,0,0,0,0,0,314,0,628,0
Placedo,8164800,2.398,11,0,0,0,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392,0,0,392,0,0,0,392,392,0,0,0,0,0,0,0,0,0,0,0,0,0,392,0,0,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392,0,0,0,0,0,392,0,0,0,0,0,0,0,0,0,0,0,0,0,392,392,0,0,0,0,0
San Fernando,8211900,2.831,18,0,0,0,756,0,0,1512,0,0,0,0,0,0,0,756,1512,0,0,0,0,0,0,1512,0,0,756,0,0,0,1512,0,0,0,0,0,756,0,0,0,756,0,0,0,0,756,0,0,0,0,0,0,756,0,0,0,0,0,0,1512,0,0,0,0,0,0,756,0,756,756,0,0,0,0,0,0,0,0,0,0,0,0,0,1512,0,0,756,0,0,0,1512,0,0,0,0,0
Tranquitas,8212300,1.831,7,0,0,0,3328,0,0,0,0,0,0,0,3328,3328,0,0,0,0,0,0,3328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3328,0,0,0,0,0,0,0,0,0,0,0,0,0,0
