site.code,site.full.name,USGS.gauge,latitude,longitude,datum,date.collection,kingdom,phylum,class,order,family,genus,species,count
AR,"Aransas River nr Skidmore, TX", 08189700,"28°16'56""","97°37'14""",NAD27,3/14/2017,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Cyprinella,C.lutrensis,27
AR,"Aransas River nr Skidmore, TX", 08189700,"28°16'56""","97°37'14""",NAD27,3/14/2017,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Lepomis,L.macrochirus,5
AR,"Aransas River nr Skidmore, TX", 08189700,"28°16'56""","97°37'14""",NAD27,3/14/2017,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Lepomis,L.auritis,3
AR,"Aransas River nr Skidmore, TX", 08189700,"28°16'56""","97°37'14""",NAD27,3/14/2017,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Lepomis,L.megalotis,3
AR,"Aransas River nr Skidmore, TX", 08189700,"28°16'56""","97°37'14""",NAD27,3/14/2017,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Cichlasoma,C.cyanoguttatum,1
BBW,"Bear Br at Research Blvd, The Woodlands, TX",08068390 ,"30°11'26""","95°29'28""",NAD27,3/13/2017,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Lepomis,L.macrochirus,6
BBW,"Bear Br at Research Blvd, The Woodlands, TX",08068390 ,"30°11'26""","95°29'28""",NAD27,3/13/2017,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Pimephales,P.vigilax,5
BBW,"Bear Br at Research Blvd, The Woodlands, TX",08068390 ,"30°11'26""","95°29'28""",NAD27,3/13/2017,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Lepomis,L.microlophus,4
BBW,"Bear Br at Research Blvd, The Woodlands, TX",08068390 ,"30°11'26""","95°29'28""",NAD27,3/13/2017,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Lepomis,L.gulosus,3
BBW,"Bear Br at Research Blvd, The Woodlands, TX",08068390 ,"30°11'26""","95°29'28""",NAD27,3/13/2017,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Fundulidae,Fundulus,F.notatus,3
