USGS.gauge,Alisotricha,Ameletus,Ametropus,Amnicola,Amphiagrion,Ancyronyx,Argia,Baetis,Baetodes,Belastoma,Berosus,Biomphalaria,Bithynia,Brachycerus,Brechmorhoga,Caecidotea,Caenis,Camelobaetidius,Campeloma,Centroptilum,Cercobrachys,Cheumatopsyche,Chimarra,Chromagrion,Cloeon,Corbicula,Cyphon,Dubiraphia,Elodes,Erpetogomphus,Erythemis,Fallceon,Farrodes,Ferrissia,Fossaria,Gammarus,Glaenocorsia,Gyraulus,Gyretes,Hebrus,Helici,Helisoma,Hetaeri,Heterelmis,Hyalella,Hydrae,Hydrobius,Hydrophilie,Hydropsyche,Hydroptilidae,Isonychia,Leptoceridae,Leptohyphes,Leptonema,Limnocoris,Limnoporus,Linisa,Lipogomphus,Macronychus,Melanoides,Menetus,Mesovelia,Metrichia,Metricia,Microvelia,Morphocorixa,Nectopsyche,Neoelmis,Neoneura,Neoplea,Orconectes,Palaemonetes,Pelocoris,Peltodytes,Philopotamidae,Physa,Physella,Pisidum,Planorbula,Plauditis,Pomatopsis,Potamyia,Procloeon,Pseudocloeon,Pseudosuccinea,Ratra,Rhagovelia,Rheumatobates,Scirtes,Siphlonurus,Smicridia,Stactobiella,Stenelmis,Stenonema,Strobilops,Sphaeridiie,Syptonecta,Thraulodes,Trepobates,Valvata,Calopteryx,Baetidae,Isonychiidae,Macrelmis
8189700,0,19,0,0,0,0,8,63,0,0,0,0,1,0,5,0,0,14,0,0,17,10,1,0,0,1,0,2,0,13,0,0,21,2,0,2,0,0,0,0,1,0,0,0,4,0,0,0,1,0,3,0,0,0,0,0,0,1,0,20,0,0,0,1,0,0,5,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,19,0,0,0,0,0,0,0,0,0,3,2
8068390,1,13,0,0,0,0,0,0,21,0,0,0,1,0,0,0,10,0,0,0,5,25,0,0,0,24,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8115000,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
8189200,0,1,1,1,0,0,0,19,8,1,1,0,0,1,0,2,0,0,1,0,1,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,56,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,18,4,0,0,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,1,0,0,0,0
8164600,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,1,1,1,0,0,49,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
8189300,0,0,0,0,3,0,2,0,0,0,0,132,23,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,69,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8,0,3,0,62,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
8189500,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,5,13,0,0,0,2,0,0,0,0,1,52,0,0,0,0,0,0,1,11,0,1,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,119,1,2,0,3,0,8,0,10,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,1,0,1,0,0,0
8211520,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8068450,0,0,0,0,11,0,5,0,0,0,0,0,0,9,0,0,9,0,0,9,0,2,0,4,1,25,0,0,0,0,0,32,0,3,0,0,0,0,0,0,0,0,1,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,2,0,1,0,0,0,0,11,30,0,0,45,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
8177300,0,2,0,0,7,0,5,3,0,0,0,0,0,21,0,0,0,0,0,0,2,10,0,0,0,5,0,0,0,0,0,49,1,0,0,0,0,0,0,0,0,8,0,0,27,1,0,0,0,0,0,0,2,0,0,3,0,0,0,61,0,0,4,4,1,0,0,0,0,1,0,3,0,0,0,5,14,0,0,8,0,0,0,60,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0
