BenSampID,Type_PPT,shannon,simpson,rich,rare.rich,abun,TEMP,PPT,Ammonia,Nitrates,Phosphates,PH,Log.NH3,Log.NO3,Log.PO4,ALISOTRICHIA,AMELETUS,AMETROPUS,AMNICOLA,AMPHIAGRION,ANCYRONYX,ARGIA,BAETIS,BAETODES,BELOSTOMA,BEROSUS,BIOMPHALARIA,BITHYNIA,BRACHYCERUS,BRECHMORHOGA,CAECIDOTEA,CAENIS,CALOPTERYX,CAMELOBAETIDIUS,CAMPELOMA,CENTROPTILUM,CERCOBRACHYS,CHEUMATOPSYCHE,CHROMAGRION,CLOEON,CORBICULA,CYPHON,DUBIRAPHIA,ELODES,ERPETOGOMPHUS,ERYTHEMIS,FALLCEON,FARRODES,FERRISSIA,FOSSARIA,GAMMARUS,GYRAULUS,GYRETES,HEBRUS,HELICINA,HELISOMA,HETAERINA,HETERELMIS,HYALELLA,HYDRAENA,HYDROBIUS,HYDROPSYCHE,ISONYCHIIDAE,LEPTOCERIDAE,LEPTOHYPHES,LEPTONEMA,LIMNOCORIS,LIMNOPORUS,LINISA,LIPOGOMPHUS,MACRELMIS,MACRONYCHUS,MELANOIDES,MENETUS,MESOVELIA,METRICHIA,MICROVELIA,MORPHOCORIXA,NEOELMIS,NEONEURA,NEOPLEA,ORCONECTES,PALAEMONETES,PELOCORIS,PELTODYTES,PHILOPOTAMIDAE,PHYSA,PHYSELLA,PISIDIUM,PLANORBULA,POMATIOPSIS,POTAMYIA,PROCLOEON,PSEUDOCLOEON,PSEUDOSUCCINEA,RANATRA,RHAGOVELIA,RHEUMATOBATES,SCIRTES,SIPHLONURUS,SMICRIDEA,STACTOBIELLA,STENELMIS,STENONEMA,STROBILOPS,SYNAPTONECTA,THRAULODES,TREPOBATES,VALVATA
AR,< 100,3.33,0.9620177,30,30,6059,21.16985,80.7686,0.105,0.6375,4.1275,7.0775,-0.978810701,-0.195519811,0.615687082,0,271,0,0,0,0,271,271,0,0,0,0,136,0,136,0,0,0,271,0,0,271,407,0,0,136,0,136,0,271,0,0,136,136,0,224,0,0,0,136,0,0,0,136,0,0,136,271,271,0,0,0,0,0,136,136,0,271,0,0,136,0,0,0,0,136,0,136,0,0,271,0,136,0,0,0,0,0,0,0,0,271,136,0,0,0,0,271,0,0,0,0,0,0
BBW,> 100,2.48,0.9065744,13,13,1819,19.74979,124.1934,0.1325,0.02,0.1675,6.7625,-0.877784122,-1.698970004,-0.775985189,107,107,0,0,0,0,0,0,107,0,0,0,107,0,0,0,107,0,0,0,0,107,214,0,0,321,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,107,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GC,> 100,3.41,0.9594145,36,36,3783,21.01333,102.4085,0.0975,0.0475,0.4075,7.135,-1.010995384,-1.32330639,-0.389872387,0,90,90,188,0,49,0,90,90,90,90,0,0,90,0,90,0,0,0,90,0,90,49,0,0,279,49,49,49,0,0,49,0,49,0,0,90,0,0,0,0,0,0,369,0,90,0,0,0,0,0,0,0,0,0,0,49,98,90,0,0,0,90,0,0,0,181,279,0,0,0,90,90,49,0,0,0,0,0,49,0,0,0,0,0,90,0,0,98,0,181,0,0,90
MC,< 100,2.81,0.9382716,17,17,3150,21.25188,79.1293,0.1125,0.0075,0.405,6.895,-0.948847478,-2.124938737,-0.392544977,0,0,0,0,175,0,175,0,0,0,0,175,175,0,0,0,175,0,0,0,175,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,175,175,175,0,0,0,0,0,0,0,0,0,0,0,175,0,175,0,0,0,0,0,0,0,175,0,350,0,175,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,175
MR,< 100,3.28,0.9617347,27,27,3920,21.3073,85.35908,0.17,0.04,0.315,7.215,-0.769551079,-1.397940009,-0.501689446,0,0,0,0,0,140,140,0,0,0,0,0,0,0,0,0,140,140,0,0,0,0,0,140,0,0,140,140,0,0,0,0,0,140,140,0,0,140,0,0,0,0,140,140,0,0,0,0,280,140,0,140,0,140,0,0,0,140,0,0,0,0,0,0,0,0,0,140,140,140,0,140,0,140,0,0,0,140,0,0,0,0,0,140,0,0,0,140,0,0,0,140,140,0
PBW,> 100,3,0.9432924,23,23,4921,19.74681,124.6177,0.16,0.9825,2.2125,NA,-0.795880017,-0.007667441,0.344883279,0,0,0,0,138,0,413,0,0,0,0,0,0,138,0,0,276,0,0,0,138,0,138,138,138,551,0,0,0,0,0,138,0,276,0,0,0,0,0,0,0,138,0,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,138,276,0,0,0,138,0,138,0,0,0,276,138,0,0,413,0,0,0,138,0,138,0,0,0,0,0,0
PDC,< 100,3.15,0.953981,25,25,9165,21.29504,92.37205,0.075,0.0225,0.2975,7.1825,-1.124938737,-1.647817482,-0.52651303,0,248,0,0,495,0,248,248,0,0,0,0,0,495,0,0,0,0,0,0,0,248,248,0,0,495,0,0,0,0,0,495,248,0,0,0,0,0,0,0,495,0,0,495,248,0,0,0,0,248,0,0,743,0,0,0,0,495,0,0,495,248,0,0,0,248,0,248,0,0,0,495,248,0,0,0,0,0,248,0,0,0,0,0,0,0,0,0,0,248,0,0,495,0
PLC,> 100,2.48,0.9166667,12,12,2976,21.12549,104.6544,0.0875,0.44,0.2975,7.3125,-1.057991947,-0.356547324,-0.52651303,0,0,0,248,0,0,0,0,0,0,0,0,248,0,0,0,0,0,0,248,0,0,248,0,0,0,248,248,0,0,0,0,0,0,0,0,0,0,0,0,248,0,0,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,0,0,0,0,0,248,0,0,0,0,0,0,0,0,0,0,0,0,248,248,0,0,0,0,0,0
SFC,< 70,2.94,0.9438776,20,20,1960,21.87357,67.75005,0.2975,1.8,4.275,6.4275,-0.52651303,0.255272505,0.630936119,70,0,0,70,0,0,140,0,0,0,0,0,0,0,70,140,0,0,0,0,0,0,140,0,0,70,0,0,0,140,0,0,0,0,0,70,0,0,70,0,0,0,0,70,0,0,0,0,0,0,70,0,0,0,0,0,0,140,0,0,0,0,0,0,70,0,70,70,0,0,0,0,0,140,0,0,0,0,0,0,0,140,0,0,70,0,0,140,0,0,0,0,0,0
TRC,< 70,1.97,0.84,8,8,1680,22.3,68.1,0.1525,0.07,0.125,7.9875,-0.816730156,-1.15490196,-0.903089987,0,0,0,168,0,0,0,0,0,0,0,168,168,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0
