box,cell,site.code,USGS.gauge,collection.date,bug.count,total.cells,cells.to.100,additional.cells.to.300,cells.picked.to300,total.to.100,total.to.300,est.i.per.sqm,total identified,abundance,ct.per.sq.m,Order,Family,Genus,Species,genus species
3,B3,AR,8189700,3/14/2017,100,64,3,7,10,102,304,1613,252,11,101,Ephemeroptera,,Ameletus,,Ameletus
3,C3,AR,8189700,3/14/2017,300,64,3,7,10,102,304,1613,252,8,73,Ephemeroptera,,Ameletus,,Ameletus
5,B6,AR,8189700,3/14/2017,100,64,3,7,10,102,304,1613,252,2,18,Odonata,,Argia,,Argia
5,C2,AR,8189700,3/14/2017,300,64,3,7,10,102,304,1613,252,6,55,Odonata,,Argia,,Argia
3,B5,AR,8189700,3/14/2017,100,64,3,7,10,102,304,1613,252,16,146,Ephemeroptera,,Baetis,,Baetis
3,D1,AR,8189700,3/14/2017,300,64,3,7,10,102,304,1613,252,47,430,Ephemeroptera,,Baetis,,Baetis
7,E7,AR,8189700,3/14/2017,300,64,3,7,10,102,304,1613,252,1,9,gastropoda,Truncatelloidea,Bithynia,tentaculata,Bithynia tentaculata
5,C3,AR,8189700,3/14/2017,300,64,3,7,10,102,304,1613,252,5,46,Odonata,,Brechmorhoga,,Brechmorhoga
3,B4,AR,8189700,3/14/2017,100,64,3,7,10,102,304,1613,252,6,55,Ephemeroptera,,Camelobaetidius,,Camelobaetidius
3,C2,AR,8189700,3/14/2017,300,64,3,7,10,102,304,1613,252,8,73,Ephemeroptera,,Camelobaetidius,,Camelobaetidius
3,B2,AR,8189700,3/14/2017,100,64,3,7,10,102,304,1613,252,15,137,Ephemeroptera,,Cercobrachys,,Cercobrachys
3,C1,AR,8189700,3/14/2017,300,64,3,7,10,102,304,1613,252,2,18,Ephemeroptera,,Cercobrachys,,Cercobrachys
1,A2,AR,8189700,3/14/2017,100,64,3,7,10,102,304,1613,252,8,73,Trichoptera,,Cheumatopsyche,,Cheumatopsyche
1,B6,AR,8189700,3/14/2017,100,64,3,7,10,102,304,1613,252,1,9,Trichoptera,,Cheumatopsyche,,Cheumatopsyche
