site.code,USGS.gauge,ALISOTRICHIA,AMELETUS,AMETROPUS,AMNICOLA,AMPHIAGRION,ANCYRONYX,ARGIA,BAETIS,BAETODES,BELOSTOMA,BEROSUS,BIOMPHALARIA,BITHYNIA,BRACHYCERUS,BRECHMORHOGA,CAECIDOTEA,CAENIS,CALOPTERYX,CAMELOBAETIDIUS,CAMPELOMA,CENTROPTILUM,CERCOBRACHYS,CHEUMATOPSYCHE,CHROMAGRION,CLOEON,CORBICULA,CYPHON,DUBIRAPHIA,ELODES,ERPETOGOMPHUS,ERYTHEMIS,FALLCEON,FARRODES,FERRISSIA,FOSSARIA,GAMMARUS,GYRAULUS,GYRETES,HEBRUS,HELICINA,HELISOMA,HETAERINA,HETERELMIS,HYALELLA,HYDRAENA,HYDROBIUS,HYDROPSYCHE,ISONYCHIIDAE,LEPTOCERIDAE,LEPTOHYPHES,LEPTONEMA,LIMNOCORIS,LIMNOPORUS,LINISA,LIPOGOMPHUS,MACRELMIS,MACRONYCHUS,MELANOIDES,MENETUS,MESOVELIA,METRICHIA,MICROVELIA,MORPHOCORIXA,NEOELMIS,NEONEURA,NEOPLEA,ORCONECTES,PALAEMONETES,PELOCORIS,PELTODYTES,PHILOPOTAMIDAE,PHYSA,PHYSELLA,PISIDIUM,PLANORBULA,POMATIOPSIS,POTAMYIA,PROCLOEON,PSEUDOCLOEON,PSEUDOSUCCINEA,RANATRA,RHAGOVELIA,RHEUMATOBATES,SCIRTES,SIPHLONURUS,SMICRIDEA,STACTOBIELLA,STENELMIS,STENONEMA,STROBILOPS,SYNAPTONECTA,THRAULODES,TREPOBATES,VALVATA
AR,8189700,0,504,0,0,0,0,504,504,0,0,0,0,252,0,252,0,0,0,504,0,0,504,756,0,0,252,0,252,0,504,0,0,252,252,0,416,0,0,0,252,0,0,0,252,0,0,252,504,504,0,0,0,0,0,252,252,0,504,0,0,252,0,0,0,0,252,0,252,0,0,504,0,252,0,0,0,0,0,0,0,0,504,252,0,0,0,0,504,0,0,0,0,0,0
BBW,8068390,199,199,0,0,0,0,0,0,199,0,0,0,199,0,0,0,199,0,0,0,0,199,398,0,0,597,0,0,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,0,199,0,0,0,0,0,0,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GC,8164600,0,168,168,350,0,91,0,168,168,168,168,0,0,168,0,168,0,0,0,168,0,168,91,0,0,518,91,91,91,0,0,91,0,91,0,0,168,0,0,0,0,0,0,686,0,168,0,0,0,0,0,0,0,0,0,0,91,182,168,0,0,0,168,0,0,0,336,518,0,0,0,168,168,91,0,0,0,0,0,91,0,0,0,0,0,168,0,0,182,0,336,0,0,168
MC,8189300,0,0,0,0,325,0,325,0,0,0,0,325,325,0,0,0,325,0,0,0,325,0,0,0,0,0,0,0,0,0,325,0,0,0,0,0,0,0,0,0,0,0,0,325,325,325,0,0,0,0,0,0,0,0,0,0,0,325,0,325,0,0,0,0,0,0,0,325,0,650,0,325,0,0,0,0,0,0,0,0,325,0,0,0,0,0,0,0,0,0,0,0,0,325
MR,8189500,0,0,0,0,0,260,260,0,0,0,0,0,0,0,0,0,260,260,0,0,0,0,0,260,0,0,260,260,0,0,0,0,0,260,260,0,0,260,0,0,0,0,260,260,0,0,0,0,520,260,0,260,0,260,0,0,0,260,0,0,0,0,0,0,0,0,0,260,260,260,0,260,0,260,0,0,0,260,0,0,0,0,0,260,0,0,0,260,0,0,0,260,260,0
PBW,8068450,0,0,0,0,256,0,768,0,0,0,0,0,0,256,0,0,512,0,0,0,256,0,256,256,256,1024,0,0,0,0,0,256,0,512,0,0,0,0,0,0,0,256,0,688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,256,512,0,0,0,256,0,256,0,0,0,512,256,0,0,768,0,0,0,256,0,256,0,0,0,0,0,0
PDC,8177300,0,460,0,0,920,0,460,460,0,0,0,0,0,920,0,0,0,0,0,0,0,460,460,0,0,920,0,0,0,0,0,920,460,0,0,0,0,0,0,0,920,0,0,920,460,0,0,0,0,460,0,0,1380,0,0,0,0,920,0,0,920,460,0,0,0,460,0,460,0,0,0,920,460,0,0,0,0,0,460,0,0,0,0,0,0,0,0,0,0,460,0,0,920,0
PLC,8164800,0,0,0,460,0,0,0,0,0,0,0,0,460,0,0,0,0,0,0,460,0,0,460,0,0,0,460,460,0,0,0,0,0,0,0,0,0,0,0,0,460,0,0,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460,0,0,0,0,0,460,0,0,0,0,0,0,0,0,0,0,0,0,460,460,0,0,0,0,0,0
SFC,8211900,130,0,0,130,0,0,260,0,0,0,0,0,0,0,130,260,0,0,0,0,0,0,260,0,0,130,0,0,0,260,0,0,0,0,0,130,0,0,130,0,0,0,0,130,0,0,0,0,0,0,130,0,0,0,0,0,0,260,0,0,0,0,0,0,130,0,130,130,0,0,0,0,0,260,0,0,0,0,0,0,0,260,0,0,130,0,0,260,0,0,0,0,0,0
TRC,8212300,0,0,0,312,0,0,0,0,0,0,0,312,312,0,0,0,0,0,0,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,0,0,0,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0
