"site.code","USGS.gauge","A.melas","A.rostrata","H.cyanoguttatus","C.lutrensis","C.venusta","E.gracile","F.notatus","G.affinis","L.auritis","L.cyanellus","L.gulosus","L.humilis","L.macrochirus","L.marginatus","L.megalotis","P.latipinna","P.vigilax","T.maculatus","shannon","simpson","rich","rare.rich","abun"
"AR",8189700,0,0,1,27,0,0,0,0,3,0,0,0,5,0,3,0,0,0,1.00647296212206,0.491781722550953,5,3.39442680831978,39
"BBW",8068390,0,0,0,2,3,0,5,1,0,0,2,0,21,0,29,0,3,0,1.47756379841705,0.693755739210285,8,4.23591325544101,66
"BC",8115000,0,0,0,10,0,0,0,4,0,6,1,0,5,0,8,0,4,0,1.80733656683488,0.821329639889197,7,5.48265891007913,38
"GC",8164600,0,1,0,0,0,0,0,22,0,2,0,2,15,4,30,0,0,0,1.44945209545738,0.717105263157895,7,4.06533150591275,76
"MC",8189300,0,0,0,0,0,0,0,11,0,5,1,0,7,0,0,0,0,0,1.17616180508379,0.659722222222222,4,3.42306453473838,24
"MR",8189500,0,2,1,0,0,1,0,1,0,0,0,0,1,0,5,0,0,0,1.54030582522652,0.727272727272727,6,6,11
"PDC",8177300,0,0,0,0,0,0,1,1,2,2,0,0,2,0,3,0,0,0,1.72019345921983,0.809917355371901,6,6,11
"PLC",8164800,3,4,0,67,0,0,0,6,0,0,2,0,6,0,17,0,3,1,1.34361126281176,0.588502651291979,9,4.01539977206071,109
"SFC",8211900,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,36,2,0,0.452869310325181,0.221296847114813,3,2.08864915572233,41
"TRC",8212300,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,0,0.636514168294813,0.444444444444444,2,2,12
