"","X","dates","Site","Discharge","id"
"1.TRC",1,"2016-08-01","TRC",0.53,1
"2.TRC",2,"2016-08-02","TRC",0.48,2
"3.TRC",3,"2016-08-03","TRC",0.49,3
"4.TRC",4,"2016-08-04","TRC",0.4,4
"5.TRC",5,"2016-08-05","TRC",0.3,5
"6.TRC",6,"2016-08-06","TRC",0.09,6
"7.TRC",7,"2016-08-07","TRC",0.07,7
"8.TRC",8,"2016-08-08","TRC",0.16,8
"9.TRC",9,"2016-08-09","TRC",0.2,9
"10.TRC",10,"2016-08-10","TRC",0.91,10
"11.TRC",11,"2016-08-11","TRC",0.32,11
"12.TRC",12,"2016-08-12","TRC",4.12,12
"13.TRC",13,"2016-08-13","TRC",5.6,13
"14.TRC",14,"2016-08-14","TRC",15.1,14
"15.TRC",15,"2016-08-15","TRC",8.14,15
"16.TRC",16,"2016-08-16","TRC",25.2,16
"17.TRC",17,"2016-08-17","TRC",7.09,17
"18.TRC",18,"2016-08-18","TRC",5.98,18
"19.TRC",19,"2016-08-19","TRC",5.69,19
"20.TRC",20,"2016-08-20","TRC",5.76,20
"21.TRC",21,"2016-08-21","TRC",11.1,21
"22.TRC",22,"2016-08-22","TRC",10.9,22
"23.TRC",23,"2016-08-23","TRC",6.5,23
"24.TRC",24,"2016-08-24","TRC",6.87,24
"25.TRC",25,"2016-08-25","TRC",6.7,25
"26.TRC",26,"2016-08-26","TRC",9.89,26
"27.TRC",27,"2016-08-27","TRC",1.98,27
"28.TRC",28,"2016-08-28","TRC",1.18,28
"29.TRC",29,"2016-08-29","TRC",1.66,29
"30.TRC",30,"2016-08-30","TRC",5.16,30
"31.TRC",31,"2016-08-31","TRC",5.83,31
"32.TRC",32,"2016-09-01","TRC",5.8,32
"33.TRC",33,"2016-09-02","TRC",5.83,33
"34.TRC",34,"2016-09-03","TRC",7.15,34
"35.TRC",35,"2016-09-04","TRC",10.2,35
"36.TRC",36,"2016-09-05","TRC",6.99,36
"37.TRC",37,"2016-09-06","TRC",6.77,37
"38.TRC",38,"2016-09-07","TRC",6.98,38
"39.TRC",39,"2016-09-08","TRC",6.6,39
"40.TRC",40,"2016-09-09","TRC",6.63,40
"41.TRC",41,"2016-09-10","TRC",6.54,41
"42.TRC",42,"2016-09-11","TRC",6.63,42
