staid,ppt,t.avg,t.max,t.min,rh,wd,pet,dev,forest,plant,soil.perm,soil.org,runoff,rip.forest,cond,d.o,turb,t.water,pH,bank,rosgen,cpy,d50,nh4,po4,no3,flsh,hfpp,lfpp,flow.avg
8068390,124.19,19.75,26.02,13.94,71.4,81.7,1062.1,76.71,9.98,0.82,3.75,0.48,364.53,14.33,227.125,8.172508135,67.45529273,17,6.7625,0.893125,12.01073232,44.14414414,2,0.1325,0.1675,0.02,0.776944397,0.249808429,13.14559387,25.87501149
8115000,120.31,20.36,26.42,14.63,71.6,85,1088.1,10.88,2.57,77.35,0.65,2.55,376.03,9.06,219.25,7.881373644,99.08366992,15.875,6.9625,0.36125,23.149871,0,2,0.1175,1.6675,2.9,0.960737284,0.240214889,15.63085188,43.53752264
8164600,102.41,21.01,27.1,15.21,74.2,75.6,1122.6,4.28,17.53,50.34,1.75,0.75,354.04,19.86,517.75,5.586604558,66.90867316,22.575,7.135,0.33875,18.16067073,73.64864865,2,0.0975,0.4075,0.0475,0.8057834,0.284597701,4.866666667,43.98452107
8164800,104.65,21.13,27.04,15.58,75,77,1126.6,11.81,2.57,78.16,0.5,0.9,360.22,5.28,1135.5,8.596173417,70.65977391,24.625,7.3125,0.4375,13.37957597,29.27927928,25,0.0875,0.2975,0.44,0.921217322,0.255632184,5.481992337,44.7173977
8177300,92.37,21.3,27.67,15.09,72.1,59.6,1139.2,2.45,34.85,27.41,1.17,0.94,333.93,32.9,736.75,7.203490725,66.19850575,18.875,7.1825,0.2875,15.1516695,0.900900901,2,0.075,0.2975,0.0225,1.338792855,0.286174126,0,5.412818823
8189300,79.13,21.25,27.74,14.9,72,61.9,1135.3,5.24,1.44,40.31,1.16,0.95,311.53,2.27,852.25,4.205500207,68.797967,19.025,6.895,0.69125,18.40514706,14.41441441,2,0.1125,0.405,0.0075,0.993328019,0.429578544,0,3.118663602
8189500,85.36,21.31,27.78,15.33,73.4,64.7,1136.5,3.72,8.43,35.06,1.1,0.82,321.63,11.05,1291,5.276607336,68.61325881,23.6,7.215,0.46,14.7008547,68.46846847,2,0.17,0.315,0.04,0.580291613,0.207694666,3.356836297,115.1299571
8189700,80.77,21.17,27.86,15.48,74.1,66.9,1129.9,8.28,3.58,52.39,0.96,0.8,310.86,7.41,929.5,7.648636411,66.35076691,19.05,7.0775,0.54,11.78055789,58.55855856,32,0.105,4.1275,0.6375,1.053090549,0.112030651,7.663601533,35.03835249
8211900,67.75,21.87,28.58,15.29,69.6,52.9,1177.1,4.74,1.48,28.01,1.36,0.91,281.68,3.92,979,5.828653376,67.17249949,23.275,6.4275,0.59125,15.76185949,89.86486486,2,0.2975,4.275,1.8,0.906775074,0.173333333,20.30574713,13.8336705
8212300,67.75,21.87,28.58,15.29,69.6,52.9,1177.1,4.74,1.48,28.01,1.36,0.91,281.68,3.92,8923,9.971382913,66.1316914,22.525,7.9875,0.75,17.98809524,68.76876877,2,0.1525,0.125,0.07,0.780885178,0.312762973,24.06030856,1.76302244
