Site Name,STAID,AP,RH,PET,Bas.dev,Bas.forest,Bas.plant,Soil.Perm,Soil.Org,runoff factor,Rip.forest,conductivity,DO,turbidity,Twater,pH,bank height,Rosgen Index,canopy,d50,NH4+,PO4-,NO3-,flash index,HFPP,LFPP,Av.Flow
Bear Branch,8068390,124.190,71.400,1062.100,76.710,9.980,0.820,3.750,0.480,364.530,14.330,227.125,8.173,67.455,17.000,6.763,0.893,12.011,44.144,2.000,0.133,0.168,0.020,0.777,0.250,13.146,25.875
Big Creek,8115000,120.310,71.600,1088.100,10.880,2.570,77.350,0.650,2.550,376.030,9.060,219.250,7.881,99.084,15.875,6.963,0.361,23.150,0.000,2.000,0.118,1.668,2.900,0.961,0.240,15.631,43.538
Garcitas,8164600,102.410,74.200,1122.600,4.280,17.530,50.340,1.750,0.750,354.040,19.860,517.750,5.587,66.909,22.575,7.135,0.339,18.161,73.649,2.000,0.098,0.408,0.048,0.806,0.285,4.867,43.985
Placedo,8164800,104.650,75.000,1126.600,11.810,2.570,78.160,0.500,0.900,360.220,5.280,1135.500,8.596,70.660,24.625,7.313,0.438,13.380,29.279,25.000,0.088,0.298,0.440,0.921,0.256,5.482,44.717
Perdido,8177300,92.370,72.100,1139.200,2.450,34.850,27.410,1.170,0.940,333.930,32.900,736.750,7.203,66.199,18.875,7.183,0.288,15.152,0.901,2.000,0.075,0.298,0.023,1.339,0.286,0.000,5.413
Medio,8189300,79.130,72.000,1135.300,5.240,1.440,40.310,1.160,0.950,311.530,2.270,852.250,4.206,68.798,19.025,6.895,0.691,18.405,14.414,2.000,0.113,0.405,0.008,0.993,0.430,0.000,3.119
Mission,8189500,85.360,73.400,1136.500,3.720,8.430,35.060,1.100,0.820,321.630,11.050,1291.000,5.277,68.613,23.600,7.215,0.460,14.701,68.468,2.000,0.170,0.315,0.040,0.580,0.208,3.357,115.130
Aransas,8189700,80.770,74.100,1129.900,8.280,3.580,52.390,0.960,0.800,310.860,7.410,929.500,7.649,66.351,19.050,7.078,0.540,11.781,58.559,32.000,0.105,4.128,0.638,1.053,0.112,7.664,35.038
San Fernando,8211900,67.750,69.600,1177.100,4.740,1.480,28.010,1.360,0.910,281.680,3.920,979.000,5.829,67.172,23.275,6.428,0.591,15.762,89.865,2.000,0.298,4.275,1.800,0.907,0.173,20.306,13.834
Tranquitas,8212300,67.750,69.600,1177.100,4.740,1.480,28.010,1.360,0.910,281.680,3.920,8923.000,9.971,66.132,22.525,7.988,0.750,17.988,68.769,2.000,0.153,0.125,0.070,0.781,0.313,24.060,1.763
